symbol,ds,current_variable_debt
USDC,2021-09-27,3639021437.882588
USDC,2021-09-26,3631017317.722529
USDC,2021-09-25,3632051120.585646
USDC,2021-09-24,3662040602.070977
USDC,2021-09-23,3674952268.545661
USDC,2021-09-22,3644168946.249392
USDC,2021-09-21,3606773233.921807
USDC,2021-09-20,3578634520.946496
USDC,2021-09-19,3600673719.365416
USDC,2021-09-18,3606198845.464315
USDC,2021-09-17,3598539835.013789
USDC,2021-09-16,3555125952.703565
USDC,2021-09-15,3548523577.352212
USDC,2021-09-14,3423133606.120177
USDC,2021-09-13,3835183185.621279
USDC,2021-09-12,3877627870.412412
USDC,2021-09-11,3901082680.963103
USDC,2021-09-10,3914804052.824001
USDC,2021-09-09,3931588066.565504
USDC,2021-09-08,3934039678.11556
USDC,2021-09-07,4187498453.216008
USDC,2021-09-06,4233697120.108843
USDC,2021-09-05,4110283834.060531
USDC,2021-09-04,4141733150.074948
USDC,2021-09-03,4122380190.42679
USDC,2021-09-02,4048507747.634228
USDC,2021-09-01,3694377914.334832
USDC,2021-08-31,3679305044.358311
USDC,2021-08-30,3669504791.752948
USDC,2021-08-29,3606077297.766134
USDC,2021-08-28,3606486884.395194
USDC,2021-08-27,3612395289.347468
USDC,2021-08-26,3600104470.029276
USDC,2021-08-25,3640971423.383984
USDC,2021-08-24,3540180913.210313
USDC,2021-08-23,3553375076.723276
USDC,2021-08-22,3517229789.107153
USDC,2021-08-21,3519574954.698764
USDC,2021-08-20,3481935468.143107
USDC,2021-08-19,3439872141.251218
USDC,2021-08-18,3549669761.514989
USDC,2021-08-17,3535398583.243628
USDC,2021-08-16,3489152857.248508
USDC,2021-08-15,3459226577.198021
USDC,2021-08-14,3432356222.57405
USDC,2021-08-13,3441596763.139599
USDC,2021-08-12,3403888726.275281
USDC,2021-08-11,3334822648.646512
USDC,2021-08-10,3394382326.388883
USDC,2021-08-09,3401514593.409881
USDC,2021-08-08,3223798465.636387
USDC,2021-08-07,3193391479.38779
USDC,2021-08-06,3103437200.013642
USDC,2021-08-05,3078411819.018469
USDC,2021-08-04,3063718107.757832
USDC,2021-08-03,3058406779.894747
USDC,2021-08-02,3103085795.564611
USDC,2021-08-01,3051770826.993331
USDC,2021-07-31,3067346759.519095
USDC,2021-07-30,3073401735.06172
USDC,2021-07-29,3012356529.103513
